Comment,Designator,Footprint,LCSC Part #
1K,R3 R7 R11 R15 R19 R26,R0805,
1x7P,U$1,XIAO_ESP32C6,C2832270,
1x7P,U$1b,XIAO_ESP32C6,C2832270,
2k,R1 R5 R9 R13 R17 R24,R0805,
4k7,R21 R22 R23,R0805,
10K,R2 R6 R10 R14 R18 R25,R0805,
22,R4 R8 R12 R16 R20 R27,R0805,
22uF,C6,C0805,
100nF,C7,C0805,
APAN3105,K6,RELAY_APAN3105,
AQG22205,K1 K2 K3 K4 K5,AQG,
DB127V-5.08-2P-GN-S,X1 X2 X3 X4 X5 X6 X7,W237-102,
GMX-N-44,SENSOR1 SENSOR2 SENSOR3,GMX-N-4,
HAW3-220S05T2,U$3,HAW3-220S05T2,
KT-0805G,D2 D4 D6 D8 D10 D12,LED-0805,
PTF-15,F1,SH22 5,
PTF-15,F2,SH22 5,
PTF-15,F3,SH22 5,
PTF-15,F4,SH22 5,
PTF-15,F5,SH22 5,
PTF-15,F6,SH22 5,
S9013,Q1 Q2 Q3 Q4 Q5 Q6,SOT23,
SS34,D1 D3 D5 D7 D9 D11,DO-214AC,
