Designator,Mid X,Mid Y,Layer,Rotation
C6,37.47,104.78,Top,90.0
C7,37.47,99.70,Top,270.0
D1,27.15,81.08,Top,90.0
D2,38.56,84.12,Top,90.0
D3,27.15,65.84,Top,90.0
D4,38.56,68.88,Top,90.0
D5,27.15,50.60,Top,90.0
D6,38.56,53.64,Top,90.0
D7,27.15,35.36,Top,90.0
D8,38.56,38.40,Top,90.0
D9,27.15,20.12,Top,90.0
D10,38.56,23.16,Top,90.0
D11,27.05, 4.66,Top,90.0
D12,38.46, 7.70,Top,90.0
F1,96.46,77.35,Top,270.0
F2,84.46,77.35,Top,270.0
F3,96.46,47.35,Top,270.0
F4,84.46,47.35,Top,270.0
F5,96.46,17.35,Top,270.0
F6,84.46,17.35,Top,270.0
K1,62.46,82.35,Top,0.0
K2,62.46,67.35,Top,0.0
K3,62.46,52.35,Top,0.0
K4,62.46,37.35,Top,0.0
K5,62.46,22.35,Top,0.0
K6,52.31, 8.35,Top,0.0
Q1,32.59,84.43,Top,0.0
Q2,32.59,69.19,Top,0.0
Q3,32.59,53.95,Top,0.0
Q4,32.59,38.71,Top,0.0
Q5,32.59,23.47,Top,0.0
Q6,32.49, 8.01,Top,0.0
R1,31.55,80.44,Top,90.0
R2,33.99,80.44,Top,270.0
R3,41.50,83.87,Top,90.0
R4,44.20,83.87,Top,90.0
R5,31.55,65.20,Top,90.0
R6,33.99,65.20,Top,270.0
R7,41.50,68.63,Top,90.0
R8,44.20,68.63,Top,90.0
R9,31.55,49.96,Top,90.0
R10,33.99,49.96,Top,270.0
R11,41.50,53.39,Top,90.0
R12,44.20,53.39,Top,90.0
R13,31.55,34.72,Top,90.0
R14,33.99,34.72,Top,270.0
R15,41.50,38.15,Top,90.0
R16,44.20,38.15,Top,90.0
R17,31.55,19.48,Top,90.0
R18,33.99,19.48,Top,270.0
R19,41.50,22.91,Top,90.0
R20,44.20,22.91,Top,90.0
R21,20.96,55.25,Top,270.0
R22,20.96,40.01,Top,90.0
R23,20.96,24.77,Top,270.0
R24,31.45, 4.02,Top,90.0
R25,33.89, 4.02,Top,270.0
R26,41.40, 7.45,Top,90.0
R27,44.10, 7.45,Top,90.0
SENSOR1, 0.25,53.09,Top,0.0
SENSOR2, 0.25,37.85,Top,0.0
SENSOR3, 0.25,22.61,Top,0.0
U$1,24.13,70.48,Top,90.0
U$1b,24.13,70.48,Top,90.0
U$3,57.79,100.97,Top,180.0
X1,109.96,98.43,Top,270.0
X2,109.96,81.92,Top,270.0
X3,109.96,67.95,Top,270.0
X4,109.96,53.98,Top,270.0
X5,109.96,40.01,Top,270.0
X6,109.96,26.04,Top,270.0
X7,109.96,11.56,Top,270.0
