Comment,Designator,Footprint,LCSC Part #
0.01uF(1KV),C1 C2 C3 C4 C5,C1206,C77098,
1K,R3 R7 R11 R15 R19,R0805,C17513,
1x4P,DEBUG,1X05,C492404,
1x7P,U$1,XIAO_ESP32C6,C2832270,
1x7P,U$1a,XIAO_ESP32C6,C2832270,
2k,R1 R5 R9 R13 R17,R0805,C17604,
4k7,R21 R22 R23 R24,R0805,C17673,
10K,R2 R6 R10 R14 R18,R0805,C17414,
22,R4 R8 R12 R16 R20,R0805,C17561,
22uF,C6,C0805,C45783,
100nF,C7,C0805,C49678,
DB127V-5.08-2P-GN-S,X1 X2 X3 X4 X5 X6,W237-102,
FH1-206Z,F1 F2 F3 F4 F5,FUSEHOLDER_10,
GMX-N-44,SENSOR1 SENSOR2 SENSOR3 SENSOR4,GMX-N-4,
HAW3-220S05T2,U$3,HAW3-220S05T2,
KT-0805G,D2 D4 D6 D8 D10,LED-0805,C2297
S9013,Q1 Q2 Q3 Q4 Q5,SOT23,C6749,
SS34,D1 D3 D5 D7 D9,DO-214AC,C8678,
